Year;Title;Artist;Genre;Duration (seconds);Duration (min:sec);Release Date;Popularity
2009;Run This Town;JAY-Z, Rihanna, Kanye West;east coast hip hop, gangster rap, hip hop, pop rap, rap;267;4:27;2009-09-08;80
2009;She's Country;Jason Aldean;contemporary country, country, country road, modern country rock;220;3:40;2009-04-07;75
2009;Monster;Skillet;alternative metal, christian alternative rock, christian music, christian rock, post-grunge;178;2:58;2009-08-21;80
2009;Down;Jay Sean, Lil Wayne;dance pop, pop, pop rap;212;3:32;2009-01-01;80
2009;Pursuit Of Happiness (Nightmare);Kid Cudi, MGMT, Ratatat;hip hop, ohio hip hop, pop rap, rap;295;4:55;2009-09-15;73
2009;Fireflies;Owl City;indietronica, pop;228;3:48;2009-01-01;80
2009;Replay;Iyaz;dance pop, pop rap, post-teen pop;182;3:02;2009-08-11;74
2009;Neon Moon;Brooks & Dunn;contemporary country, country, country road;263;4:23;2009-09-08;73
2009;Little Lion Man;Mumford & Sons;modern folk rock, modern rock, neo mellow, stomp and holler, uk americana;247;4:07;2009-10-02;72
2009;Pursuit Of Happiness (Nightmare);Kid Cudi, MGMT, Ratatat;hip hop, ohio hip hop, pop rap, rap;295;4:55;2009-01-01;72
2009;Big Black Car;Gregory Alan Isakov;indie folk, pop folk, stomp and flutter, stomp and holler;217;3:37;2009-01-01;76
2009;Forever;Drake, Kanye West, Lil Wayne, Eminem;canadian hip hop, canadian pop, hip hop, pop rap, rap;357;5:57;2009-05-15;76
2009;1901;Phoenix;alternative dance, indie rock, modern rock, new rave, rock independant francais;193;3:13;2009-05-25;74
2009;Memories (feat. Kid Cudi);David Guetta, Kid Cudi;big room, dance pop, edm, pop, pop dance;210;3:30;2009-08-21;70
2009;Telephone;Lady Gaga, Beyoncé;art pop, dance pop, pop;220;3:40;2009-08-05;73
2009;The Cave;Mumford & Sons;modern folk rock, modern rock, neo mellow, stomp and holler, uk americana;217;3:37;2009-10-02;71
2009;I Will Not Bow;Breaking Benjamin;alternative metal, nu metal, post-grunge;216;3:36;2009-01-01;72
2009;Boot Scootin' Boogie;Brooks & Dunn;contemporary country, country, country road;198;3:18;2009-09-08;73
2009;Big Green Tractor;Jason Aldean;contemporary country, country, country road, modern country rock;204;3:24;2009-04-07;71
2009;Day 'N' Nite (nightmare);Kid Cudi;hip hop, ohio hip hop, pop rap, rap;221;3:41;2009-09-15;70
2009;BedRock;Young Money, Lloyd;dirty south rap, pop rap, rap, southern hip hop, trap;288;4:48;2009-01-01;72
2009;The Only Exception;Paramore;candy pop, pixie, pop, pop emo, pop punk, rock;267;4:27;2009-09-28;76
2009;Sexy Bitch (feat. Akon);David Guetta, Akon;big room, dance pop, edm, pop, pop dance;195;3:15;2009-08-21;69
2009;Obsessed;Mariah Carey;dance pop, pop, urban contemporary;242;4:02;2009-09-29;70
2009;Rude Boy;Rihanna;barbadian pop, pop, urban contemporary;222;3:42;2009-11-20;79
2009;Fire Burning;Sean Kingston;dance pop, miami hip hop, pop;239;3:59;2009-09-07;74
2009;Rain Is A Good Thing;Luke Bryan;contemporary country, country, country road;176;2:56;2009-01-01;71
2009;Hotel Room Service;Pitbull;dance pop, miami hip hop, pop;237;3:57;2009-08-27;74
2009;Meet Me Halfway;Black Eyed Peas;dance pop, pop, pop rap;284;4:44;2009-01-01;70
2009;Secrets;OneRepublic;piano rock, pop;224;3:44;2009-01-01;77
2009;Sweet Disposition;The Temper Trap;indietronica, modern rock;230;3:50;2009-03-24;69
2009;Right Round;Flo Rida;dance pop, miami hip hop, pop, pop rap;204;3:24;2009-03-30;78
2009;Home - 2019 - Remaster;Edward Sharpe & The Magnetic Zeros;la indie, stomp and holler;306;5:06;2009-07-07;72
2009;My Maria;Brooks & Dunn;contemporary country, country, country road;208;3:28;2009-09-08;71
2009;The Downfall Of Us All;A Day To Remember;alternative metal, metalcore, neon pop punk, pop emo, pop punk, screamo;209;3:29;2009-02-03;71
2009;Beach Baby;Bon Iver;chamber pop, eau claire indie, indie folk, melancholia, modern rock;160;2:40;2009-01-20;74
2009;The Climb;Miley Cyrus;pop;236;3:56;2009-01-01;71
2009;Little Bit (feat. Lykke Li);Drake, Lykke Li;canadian hip hop, canadian pop, hip hop, pop rap, rap;230;3:50;2009;71
2009;You Found Me;The Fray;neo mellow, piano rock, pop, pop rock;241;4:01;2009-02-02;75
2009;Dile al Amor;Aventura;bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino;229;3:49;2009-06-09;78
2009;She Wolf;Shakira;colombian pop, dance pop, latin pop, pop;188;3:08;2009;76
2009;Hero;Skillet;alternative metal, christian alternative rock, christian music, christian rock, post-grunge;186;3:06;2009-08-21;75
2009;Birthday Sex;Jeremih;chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary;226;3:46;2009-01-01;70
2009;Smoke A Little Smoke;Eric Church;contemporary country, country, country road;191;3:11;2009-01-01;69
2009;Material Girl;Madonna;dance pop, pop;240;4:00;2009-09-18;78
2009;Soundtrack 2 My Life;Kid Cudi;hip hop, ohio hip hop, pop rap, rap;235;3:55;2009-01-01;68
2009;The Truth;Jason Aldean;contemporary country, country, country road, modern country rock;238;3:58;2009-04-07;68
2009;Uprising;Muse;alternative rock, modern rock, permanent wave, rock;304;5:04;2009-09-10;78
2009;Total Eclipse of the Heart;Bonnie Tyler;europop, new wave pop, soft rock;267;4:27;2009-03-26;80
2009;The House That Built Me;Miranda Lambert;contemporary country, country, country dawn, country road;236;3:56;2009-09-24;70
2009;Home;Edward Sharpe & The Magnetic Zeros;la indie, stomp and holler;303;5:03;2009-07-14;71
2009;Bulletproof;La Roux;alternative dance, electropop, neo-synthpop;205;3:25;2009;74
2009;Knock You Down;Keri Hilson, Kanye West, Ne-Yo;dance pop, hip pop, r&b, urban contemporary;326;5:26;2009-01-01;68
2009;Good Life;OneRepublic;piano rock, pop;253;4:13;2009-01-01;75
2009;Hotel Room Service;Pitbull;dance pop, miami hip hop, pop;237;3:57;2009-08-31;75
2009;Gettin' You Home;Chris Young;contemporary country, country, country road;212;3:32;2009-09-01;68
2009;Boom Boom Pow;Black Eyed Peas;dance pop, pop, pop rap;251;4:11;2009-01-01;69
2009;If It Means A Lot To You;A Day To Remember;alternative metal, metalcore, neon pop punk, pop emo, pop punk, screamo;243;4:03;2009-02-03;71
2009;Break;Three Days Grace;alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock;193;3:13;2009-09-22;70
2009;Smile;Uncle Kracker;country, pop rock, post-grunge;201;3:21;2009-09-11;69
2009;Imma Be;Black Eyed Peas;dance pop, pop, pop rap;257;4:17;2009-01-01;68
2009;Up Up & Away;Kid Cudi;hip hop, ohio hip hop, pop rap, rap;227;3:47;2009-01-01;67
2009;Intro;The xx;downtempo, dream pop, indietronica;127;2:07;2009-08-18;67
2009;Two Weeks;Grizzly Bear;art pop, baroque pop, brooklyn indie, indie rock, neo-synthpop, new weird america;246;4:06;2009-05-24;71
2009;Shots;LMFAO, Lil Jon;dance pop, pop, pop rap;222;3:42;2009-01-01;71
2009;I'm Goin In;Drake, Lil Wayne, Jeezy;canadian hip hop, canadian pop, hip hop, pop rap, rap;225;3:45;2009-09-15;67
2009;Daylight;Matt and Kim;brooklyn indie, indietronica, modern rock, shimmer pop;171;2:51;2009-01-20;69
2009;Forever;Drake, Kanye West, Lil Wayne, Eminem;canadian hip hop, canadian pop, hip hop, pop rap, rap;357;5:57;2009-01-01;67
2009;21 Guns;Green Day;modern rock, permanent wave, punk, rock;321;5:21;2009-05-15;77
2009;Two Birds;Regina Spektor;indie pop, lilith, piano rock;195;3:15;2009-06-09;73
2009;Say Something (Featuring Drake);Timbaland, Drake;dance pop, pop, pop rap;240;4:00;2009-01-01;68
2009;Un-thinkable (I'm Ready);Alicia Keys;neo soul, pop, r&b;249;4:09;2009-12-15;70
2009;Sleepyhead;Passion Pit;indie rock, indietronica, modern rock, neo-synthpop, shimmer pop;174;2:54;2009;68
2009;Ignorance;Paramore;candy pop, pixie, pop, pop emo, pop punk, rock;218;3:38;2009-09-28;70
2009;Awake and Alive;Skillet;alternative metal, christian alternative rock, christian music, christian rock, post-grunge;209;3:29;2009-08-21;72
2009;You've Got The Love;Florence + The Machine;baroque pop, modern rock, uk alternative pop;168;2:48;2009;66
2009;Lisztomania;Phoenix;alternative dance, indie rock, modern rock, new rave, rock independant francais;241;4:01;2009-05-25;71
2009;Crack A Bottle;Eminem, Dr. Dre, 50 Cent;detroit hip hop, hip hop, rap;297;4:57;2009-05-15;73
2009;Alejandro;Lady Gaga;art pop, dance pop, pop;274;4:34;2009-08-05;69
2009;El Malo;Aventura;bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino;238;3:58;2009-06-09;76
2009;Bad Company;Five Finger Death Punch;alternative metal, groove metal, nu metal;262;4:22;2009-09-22;66
2009;Drop The World;Lil Wayne, Eminem;hip hop, new orleans rap, pop rap, rap, trap;229;3:49;2009-01-01;66
2009;Cooler Than Me (feat. Big Sean);Mike Posner, Big Sean;dance pop, pop, pop dance, pop rap;227;3:47;2009-12-15;68
2009;I Know You Want Me (Calle Ocho);Pitbull;dance pop, miami hip hop, pop;237;3:57;2009-08-27;73
2009;Good Girls Go Bad (feat. Leighton Meester);Cobra Starship, Leighton Meester;neon pop punk, pop punk, post-teen pop;196;3:16;2009-07-07;68
2009;Colgando en tus manos (con Marta Sánchez);Carlos Baute, Marta Sánchez;latin pop, spanish pop;230;3:50;2009;81
2009;Say Aah (feat. Fabolous);Trey Songz, Fabolous;dance pop, r&b, southern hip hop, trap, urban contemporary;207;3:27;2009-08-31;65
2009;Like or Like Like;Miniature Tigers;;158;2:38;2009-09-22;68
2009;Yo No Sé Mañana;Luis Enrique;cuatro venezolano, latin pop, modern salsa, musica nicaraguense, salsa, tropical;259;4:19;2009-05-19;77
2009;Do I;Luke Bryan;contemporary country, country, country road;239;3:59;2009-01-01;66
2010;Sure Thing;Miguel;r&b;195;3:15;2010-11-26;89
2010;The Spins;Mac Miller;hip hop, pittsburgh rap, pop rap, rap;195;3:15;2010-08-13;84
